provider,region,network_latency_ms,response_time_ms,availability_percent,resource_utilization_percent
Azure,Central India,54,98,99.996,40
AWS,ap-south-1,39,65,99.941,79
AWS,us-west-2,10,36,99.989,82
AWS,us-east-1,30,41,99.939,62
AWS,ap-southeast-1,37,68,99.949,46
AWS,ap-south-1,10,42,99.955,63
AWS,us-west-2,48,70,99.965,80
Azure,Australia East,33,58,99.905,40
Azure,Central India,72,89,99.949,77
AWS,us-west-2,19,66,99.945,47
AWS,us-east-1,44,74,99.933,79
AWS,ap-south-1,21,41,99.915,43
GCP,europe-west1,60,98,99.973,45
GCP,asia-east1,63,96,99.934,94
AWS,us-east-1,37,77,99.954,92
Azure,Central India,60,85,99.983,44
AWS,eu-west-1,13,37,99.93,95
AWS,ap-southeast-1,27,58,99.915,46
AWS,us-west-2,11,25,99.97,41
Azure,West Europe,61,85,99.918,91
Azure,Australia East,14,34,99.928,90
Azure,East US,41,84,99.975,42
AWS,ap-southeast-1,18,53,99.929,81
Azure,West Europe,68,115,99.958,49
AWS,eu-west-1,50,71,99.95,54
GCP,us-east1,69,87,99.935,44
Azure,East US,43,93,99.949,64
Azure,West Europe,37,51,99.939,90
AWS,ap-southeast-1,57,107,99.987,76
Azure,West Europe,50,79,99.992,88
GCP,us-east1,41,70,99.978,80
GCP,asia-south1,56,96,99.928,95
Azure,Central India,60,80,99.999,44
GCP,europe-west1,45,90,99.981,78
AWS,ap-southeast-1,44,94,99.975,69
GCP,us-central1,37,77,99.914,94
AWS,ap-south-1,50,80,99.937,77
Azure,West Europe,63,79,99.936,82
GCP,us-east1,74,99,99.962,73
AWS,ap-south-1,46,69,99.97,58
Azure,Central India,53,85,99.945,64
Azure,Central India,66,107,99.923,85
Azure,Australia East,25,59,99.982,47
GCP,us-central1,14,27,99.94,62
GCP,asia-south1,38,77,99.953,50
GCP,asia-south1,10,58,99.92,62
GCP,asia-south1,31,70,99.978,52
GCP,asia-south1,59,97,99.943,49
AWS,eu-west-1,42,66,99.977,62
Azure,West Europe,28,76,99.972,61
Azure,Australia East,67,113,99.924,59
GCP,europe-west1,76,103,99.963,70
AWS,ap-southeast-1,39,82,99.9,59
GCP,asia-east1,14,42,99.982,74
AWS,us-west-2,14,36,99.986,82
GCP,us-east1,48,82,99.903,76
Azure,East US,78,124,99.98,67
AWS,us-west-2,66,105,99.942,54
Azure,Australia East,76,109,99.975,91
Azure,Central India,21,51,99.963,42
Azure,Australia East,34,46,99.933,45
AWS,us-east-1,26,42,99.956,42
AWS,us-east-1,66,93,99.942,65
AWS,us-east-1,24,74,99.933,77
AWS,us-east-1,49,71,99.954,57
Azure,Southeast Asia,57,76,99.91,94
Azure,Southeast Asia,67,84,99.915,47
AWS,ap-south-1,62,88,99.904,80
Azure,Southeast Asia,78,118,99.935,93
GCP,europe-west1,43,86,99.939,85
AWS,ap-southeast-1,16,41,99.92,69
Azure,West Europe,44,83,99.968,58
GCP,asia-east1,37,55,99.924,74
GCP,europe-west1,54,70,99.959,95
AWS,ap-southeast-1,56,67,99.953,92
Azure,Australia East,27,74,99.951,41
AWS,us-east-1,16,61,99.911,70
Azure,Southeast Asia,52,101,99.958,78
Azure,Central India,16,54,99.963,63
AWS,ap-southeast-1,13,59,99.928,86
GCP,asia-south1,50,100,99.927,86
AWS,ap-southeast-1,24,45,99.967,94
GCP,us-central1,66,76,99.946,87
Azure,East US,31,66,99.909,63
AWS,eu-west-1,67,94,99.967,75
AWS,eu-west-1,59,70,99.982,66
GCP,asia-south1,79,118,99.98,49
GCP,asia-south1,48,63,99.946,84
GCP,europe-west1,37,55,99.916,65
AWS,ap-southeast-1,64,95,99.974,80
AWS,us-east-1,37,82,99.982,61
AWS,ap-south-1,19,65,99.935,92
Azure,Southeast Asia,58,80,99.983,63
GCP,asia-south1,46,78,99.958,92
GCP,us-east1,25,44,99.995,46
GCP,us-east1,40,51,99.986,64
AWS,eu-west-1,39,56,99.952,46
AWS,us-east-1,19,52,99.951,67
Azure,Central India,26,56,99.995,60
GCP,us-central1,51,61,99.93,63
GCP,us-central1,32,54,99.964,70
GCP,asia-south1,64,81,99.98,49
AWS,us-east-1,55,97,99.977,85
AWS,us-east-1,76,89,99.915,57
AWS,ap-south-1,38,79,99.959,41
GCP,asia-east1,42,52,99.93,64
AWS,us-west-2,55,100,99.947,90
AWS,us-west-2,38,75,99.916,50
GCP,asia-south1,16,45,99.948,48
AWS,us-east-1,45,93,99.976,42
Azure,Australia East,47,87,99.934,40
Azure,West Europe,30,74,99.968,78
AWS,ap-south-1,29,58,99.989,87
AWS,us-west-2,40,76,99.989,44
GCP,asia-south1,48,88,99.915,89
AWS,eu-west-1,68,115,99.912,83
Azure,West Europe,37,75,99.976,65
AWS,us-east-1,54,70,99.957,90
GCP,asia-east1,13,45,99.956,90
GCP,europe-west1,55,94,99.924,88
GCP,europe-west1,11,61,99.93,82
Azure,Southeast Asia,16,52,99.994,64
GCP,asia-east1,23,44,99.939,52
GCP,europe-west1,33,78,99.923,89
Azure,Australia East,15,37,99.95,69
Azure,West Europe,18,40,99.924,75
AWS,eu-west-1,68,87,99.936,65
GCP,europe-west1,62,99,99.907,76
Azure,Southeast Asia,25,52,99.951,83
Azure,East US,68,109,99.957,73
Azure,Australia East,50,100,99.942,72
GCP,europe-west1,56,79,99.984,48
Azure,Southeast Asia,25,60,99.975,78
GCP,us-east1,79,109,99.945,92
Azure,East US,72,86,99.921,51
AWS,eu-west-1,68,88,99.94,52
GCP,asia-east1,35,56,99.913,76
AWS,eu-west-1,32,77,99.945,71
AWS,us-east-1,55,79,99.955,81
Azure,Australia East,24,72,99.937,94
GCP,asia-south1,78,122,99.941,45
AWS,ap-south-1,57,98,99.947,67
GCP,us-central1,11,31,99.975,41
AWS,eu-west-1,38,79,99.95,93
GCP,asia-south1,72,82,99.97,95
AWS,eu-west-1,59,88,99.95,42
GCP,asia-east1,75,110,99.929,70
GCP,europe-west1,71,120,99.993,59
Azure,East US,74,115,99.998,56
GCP,europe-west1,23,52,99.95,71
GCP,us-central1,37,62,99.985,58
AWS,us-west-2,15,48,99.99,66
GCP,asia-east1,45,87,99.962,95
GCP,europe-west1,18,58,99.989,48
AWS,ap-southeast-1,15,39,99.935,91
GCP,us-central1,77,119,99.956,46
AWS,ap-southeast-1,75,103,99.998,46
AWS,us-east-1,76,125,99.92,62
Azure,West Europe,18,45,99.931,42
Azure,Central India,32,50,99.915,64
AWS,eu-west-1,14,57,99.904,40
GCP,asia-east1,65,82,99.94,94
AWS,eu-west-1,72,90,99.901,81
Azure,East US,79,115,99.939,53
Azure,Southeast Asia,35,82,99.937,40
AWS,us-west-2,60,110,99.956,93
AWS,us-east-1,16,40,99.963,55
AWS,ap-south-1,33,59,99.99,80
AWS,us-east-1,44,89,99.927,45
GCP,us-east1,41,52,99.903,42
GCP,asia-east1,25,66,99.934,75
GCP,europe-west1,13,24,99.975,87
AWS,ap-south-1,77,125,99.975,42
GCP,asia-south1,75,98,99.978,64
Azure,Australia East,42,70,99.957,48
GCP,asia-east1,55,102,99.971,55
Azure,Southeast Asia,48,74,99.944,82
GCP,asia-east1,74,119,99.951,76
Azure,Southeast Asia,71,113,99.963,77
GCP,us-east1,68,117,99.93,70
GCP,europe-west1,45,84,99.989,60
GCP,us-east1,69,79,99.992,93
GCP,us-central1,35,75,99.914,58
AWS,us-east-1,57,73,99.915,84
GCP,us-east1,65,91,99.918,60
AWS,us-west-2,25,46,99.979,63
Azure,Australia East,25,66,99.972,94
GCP,us-east1,73,114,99.909,56
AWS,eu-west-1,13,53,99.91,84
AWS,us-east-1,42,75,99.949,82
AWS,ap-southeast-1,51,93,99.988,76
GCP,us-east1,39,89,99.963,53
Azure,West Europe,22,38,99.914,56
Azure,East US,46,60,99.97,59
AWS,ap-south-1,72,103,99.925,40
AWS,ap-south-1,80,113,99.96,50
Azure,Central India,51,91,99.99,83
AWS,us-east-1,76,93,99.975,45
GCP,asia-south1,70,120,99.93,53
AWS,us-west-2,64,79,99.948,53
Azure,West Europe,43,70,99.964,41
AWS,eu-west-1,18,33,99.938,50
AWS,us-west-2,45,67,99.958,45
Azure,East US,31,52,99.915,87
AWS,eu-west-1,65,113,99.964,90
GCP,asia-east1,58,106,99.99,78
AWS,ap-southeast-1,34,58,99.902,73
Azure,East US,64,108,99.977,65
Azure,West Europe,42,76,99.934,58
GCP,us-east1,41,71,99.944,85
AWS,us-west-2,31,42,99.961,94
AWS,us-west-2,12,61,99.976,81
GCP,asia-south1,71,82,99.907,88
AWS,eu-west-1,37,49,99.953,42
AWS,us-west-2,28,64,99.941,90
AWS,ap-south-1,68,85,99.911,83
GCP,us-east1,35,69,99.985,78
AWS,ap-southeast-1,72,91,99.971,88
Azure,Australia East,36,67,99.98,84
Azure,Central India,53,74,99.992,67
Azure,East US,30,71,99.901,41
AWS,us-east-1,72,89,99.907,61
Azure,Southeast Asia,50,75,99.915,48
GCP,us-east1,47,82,99.978,45
AWS,eu-west-1,22,64,99.926,45
Azure,East US,57,92,99.974,63
AWS,ap-south-1,22,42,99.976,82
AWS,ap-southeast-1,53,94,99.984,44
GCP,asia-south1,53,97,99.906,78
GCP,us-east1,24,51,99.92,83
GCP,europe-west1,60,97,99.975,95
GCP,asia-south1,77,110,99.969,50
Azure,Australia East,25,74,99.936,81
GCP,us-east1,78,94,99.968,58
Azure,Southeast Asia,71,113,99.932,40
Azure,Southeast Asia,77,117,99.902,85
AWS,us-west-2,64,89,99.96,83
GCP,us-east1,18,55,99.97,58
AWS,us-east-1,29,52,99.905,60
GCP,asia-south1,63,92,99.955,70
Azure,Southeast Asia,62,96,99.92,43
AWS,eu-west-1,14,54,99.969,80
Azure,Central India,79,104,99.944,63
Azure,East US,56,96,99.994,53
GCP,asia-east1,74,107,99.927,52
GCP,europe-west1,52,95,99.956,73
Azure,West Europe,67,89,99.923,79
Azure,West Europe,31,46,99.999,59
Azure,West Europe,11,21,99.908,61
Azure,Australia East,29,48,99.952,94
GCP,asia-east1,52,84,99.969,80
AWS,ap-south-1,59,109,99.938,65
AWS,ap-south-1,15,51,99.934,51
GCP,us-central1,40,78,99.904,42
Azure,Australia East,73,86,99.985,69
Azure,Australia East,53,64,99.946,55
GCP,us-east1,63,78,99.983,78
GCP,us-east1,29,56,99.966,88
AWS,us-west-2,29,43,99.933,42
GCP,us-east1,67,115,99.978,90
AWS,us-west-2,72,98,99.982,71
Azure,Southeast Asia,46,83,99.946,78
GCP,us-central1,39,67,99.915,47
GCP,asia-east1,38,63,99.921,93
AWS,us-east-1,38,79,99.94,87
GCP,asia-south1,43,60,99.92,81
AWS,ap-southeast-1,13,57,99.98,64
AWS,eu-west-1,31,73,99.993,75
GCP,europe-west1,26,45,99.993,62
GCP,asia-east1,31,80,99.99,58
Azure,West Europe,60,87,99.984,72
AWS,eu-west-1,30,71,99.937,76
GCP,us-central1,72,92,99.904,66
AWS,us-east-1,46,59,99.915,60
AWS,us-west-2,79,93,99.992,66
AWS,us-east-1,23,39,99.967,84
AWS,ap-south-1,25,44,99.932,88
Azure,West Europe,77,126,99.97,56
Azure,West Europe,69,109,99.98,64
AWS,us-east-1,38,68,99.975,80
AWS,us-east-1,15,64,99.923,49
GCP,europe-west1,34,51,99.958,90
AWS,eu-west-1,10,33,99.964,48
AWS,ap-southeast-1,32,62,99.993,85
Azure,East US,59,94,99.986,95
Azure,West Europe,39,55,99.906,71
Azure,West Europe,54,77,99.981,43
Azure,Southeast Asia,13,46,99.924,41
GCP,us-central1,78,103,99.982,74
AWS,ap-southeast-1,55,73,99.9,90
AWS,us-west-2,68,106,99.912,44
Azure,East US,11,40,99.964,79
GCP,asia-east1,42,67,99.964,40
Azure,Central India,47,71,99.994,81
GCP,asia-south1,75,118,99.99,53
GCP,europe-west1,31,50,99.911,69
AWS,ap-south-1,69,92,99.999,54
GCP,asia-south1,44,90,99.906,50
AWS,us-west-2,14,59,99.968,88
GCP,us-east1,38,80,99.965,49
Azure,Central India,57,101,99.996,88
AWS,us-east-1,47,81,99.985,53
GCP,europe-west1,56,103,99.927,51
Azure,East US,66,89,99.912,90
GCP,us-central1,76,121,99.989,49
GCP,us-east1,32,43,99.918,63
AWS,us-west-2,45,83,99.921,95
AWS,ap-southeast-1,32,42,99.986,60
GCP,us-central1,47,91,99.922,63
GCP,asia-east1,75,114,99.933,93
GCP,us-east1,48,71,99.926,57
Azure,Southeast Asia,19,63,99.979,71
GCP,asia-east1,68,84,99.958,44
AWS,ap-southeast-1,77,121,99.953,75
GCP,europe-west1,75,121,99.913,46
Azure,Australia East,44,90,99.98,71
AWS,us-west-2,10,39,99.924,51
AWS,us-east-1,63,92,99.935,41
AWS,us-east-1,77,123,99.925,94
GCP,europe-west1,70,101,99.976,92
AWS,eu-west-1,43,67,99.929,44
Azure,East US,29,52,99.939,78
AWS,ap-south-1,56,102,99.969,65
GCP,asia-south1,60,106,99.93,49
AWS,us-east-1,45,58,99.986,88
GCP,asia-south1,68,97,99.932,71
GCP,us-central1,72,111,99.928,72
GCP,europe-west1,41,71,99.922,42
GCP,asia-south1,33,63,99.998,87
GCP,asia-east1,20,62,99.905,90
Azure,East US,46,76,99.935,56
GCP,us-central1,72,115,99.921,74
Azure,Australia East,30,76,99.92,48
AWS,eu-west-1,36,72,99.951,55
GCP,us-central1,36,67,99.932,91
GCP,europe-west1,61,107,99.912,54
Azure,Southeast Asia,38,64,99.981,53
GCP,us-east1,53,63,99.97,48
GCP,asia-south1,39,87,99.964,52
Azure,West Europe,67,98,99.917,77
GCP,europe-west1,69,108,99.946,77
Azure,West Europe,63,80,99.959,75
AWS,ap-south-1,47,83,99.981,42
GCP,europe-west1,16,31,99.926,84
Azure,West Europe,10,52,99.935,66
AWS,us-west-2,50,60,99.963,86
GCP,asia-east1,27,37,99.963,54
GCP,europe-west1,70,86,99.976,90
Azure,East US,42,63,99.996,88
Azure,West Europe,58,81,99.993,89
Azure,Australia East,53,73,99.998,49
AWS,us-west-2,14,53,99.971,60
Azure,Central India,70,105,99.903,71
GCP,us-central1,42,70,99.981,78
AWS,eu-west-1,53,102,99.931,92
Azure,Southeast Asia,44,93,99.907,51
AWS,ap-southeast-1,66,98,99.968,94
Azure,West Europe,18,51,99.962,47
GCP,asia-south1,50,80,99.918,75
Azure,Central India,79,96,99.909,42
AWS,us-west-2,53,86,99.955,44
AWS,eu-west-1,37,52,99.982,89
AWS,ap-southeast-1,26,39,99.902,40
AWS,us-east-1,51,88,99.971,94
GCP,us-east1,60,89,99.957,47
AWS,ap-southeast-1,61,101,99.933,45
Azure,Central India,36,67,99.974,54
Azure,East US,31,64,99.932,80
Azure,Central India,11,23,99.996,68
AWS,ap-southeast-1,42,58,99.964,43
Azure,West Europe,21,69,99.91,94
AWS,ap-southeast-1,62,104,99.948,89
Azure,Australia East,24,40,99.971,84
AWS,ap-southeast-1,24,58,99.928,64
Azure,Australia East,56,101,99.923,91
GCP,asia-east1,77,111,99.908,85
GCP,asia-south1,17,42,99.924,58
AWS,us-east-1,49,88,99.999,47
GCP,us-central1,60,91,99.905,93
GCP,asia-east1,61,109,99.918,79
GCP,asia-south1,46,67,99.956,44
AWS,us-west-2,62,99,99.98,85
GCP,us-east1,55,99,99.993,66
GCP,asia-east1,79,129,99.972,68
AWS,us-west-2,48,59,99.956,50
GCP,asia-south1,15,65,99.965,91
GCP,us-central1,53,88,99.967,78
Azure,Southeast Asia,42,83,99.901,44
Azure,Central India,66,115,99.9,54
AWS,us-west-2,78,104,99.93,71
AWS,ap-south-1,58,95,99.948,69
AWS,ap-south-1,15,57,99.995,48
AWS,us-west-2,19,37,99.964,77
Azure,West Europe,49,66,99.961,77
GCP,asia-east1,21,50,99.926,52
AWS,eu-west-1,47,68,99.987,56
Azure,East US,32,48,99.996,86
GCP,asia-south1,33,65,99.956,66
Azure,Southeast Asia,61,74,99.947,62
Azure,East US,14,34,99.974,53
GCP,us-east1,65,112,99.907,82
Azure,Central India,69,119,99.961,69
GCP,europe-west1,61,100,99.925,46
AWS,us-east-1,41,53,99.994,49
AWS,us-west-2,43,83,99.985,82
GCP,europe-west1,58,108,99.919,85
AWS,us-west-2,65,76,99.946,79
GCP,asia-south1,56,88,99.94,93
GCP,us-east1,69,112,99.973,84
Azure,Central India,28,75,99.94,48
GCP,europe-west1,66,96,99.981,86
GCP,us-central1,46,58,99.986,49
GCP,asia-south1,59,107,99.984,94
GCP,us-east1,18,64,99.981,85
AWS,ap-south-1,13,48,99.909,77
GCP,asia-south1,59,109,99.903,53
AWS,ap-southeast-1,76,90,99.972,44
AWS,ap-southeast-1,76,91,99.966,92
GCP,europe-west1,69,101,99.951,86
AWS,us-west-2,74,88,99.938,49
Azure,Central India,58,75,99.925,56
GCP,us-central1,47,92,99.946,46
Azure,Central India,75,110,99.977,93
GCP,europe-west1,67,97,99.983,40
GCP,europe-west1,51,76,99.903,45
GCP,europe-west1,55,94,99.907,73
GCP,us-east1,20,70,99.963,48
GCP,asia-south1,16,63,99.927,73
GCP,us-east1,40,63,99.994,61
Azure,Central India,17,62,99.961,90
Azure,East US,15,44,99.995,55
GCP,us-east1,17,43,99.956,69
GCP,us-central1,25,41,99.928,86
Azure,East US,16,61,99.968,71
GCP,us-central1,52,62,99.997,56
Azure,West Europe,16,62,99.979,93
AWS,eu-west-1,27,56,99.991,64
GCP,asia-east1,22,32,99.964,46
Azure,Central India,26,74,99.921,67
Azure,West Europe,56,66,99.996,87
Azure,Australia East,46,57,99.955,44
AWS,eu-west-1,48,74,99.99,66
AWS,ap-south-1,50,67,99.959,79
Azure,West Europe,20,35,99.91,79
Azure,Australia East,60,102,99.925,60
Azure,Southeast Asia,40,66,99.9,55
GCP,asia-east1,71,109,99.932,86
GCP,us-east1,11,28,99.966,59
AWS,ap-southeast-1,49,98,99.956,46
Azure,Southeast Asia,61,104,99.948,84
Azure,Southeast Asia,26,67,99.99,58
GCP,asia-east1,48,94,99.916,53
Azure,Australia East,74,85,99.901,70
Azure,Australia East,21,54,99.956,72
GCP,europe-west1,58,108,99.957,52
GCP,us-central1,10,42,99.97,56
Azure,West Europe,35,74,99.917,95
AWS,us-east-1,10,35,99.992,53
AWS,ap-southeast-1,34,80,99.926,40
AWS,eu-west-1,23,63,99.962,44
AWS,ap-southeast-1,74,122,99.928,83
Azure,Australia East,70,120,99.957,44
Azure,Southeast Asia,45,88,99.971,77
AWS,ap-south-1,43,56,99.93,48
AWS,us-west-2,10,37,99.947,68
AWS,ap-south-1,13,51,99.927,72
AWS,us-east-1,50,89,99.958,55
Azure,East US,28,67,99.967,95
Azure,Central India,51,83,99.992,75
GCP,asia-south1,70,105,99.928,48
Azure,Southeast Asia,69,115,99.935,57
AWS,us-west-2,16,65,99.952,76
GCP,asia-east1,22,48,99.976,60
GCP,europe-west1,72,113,99.996,42
AWS,us-east-1,51,97,99.969,84
GCP,us-east1,52,100,99.917,54
GCP,asia-south1,69,80,99.933,83
GCP,europe-west1,61,86,99.984,60
GCP,us-central1,68,105,99.93,40
Azure,Southeast Asia,47,89,99.992,63
Azure,East US,22,72,99.958,57
AWS,eu-west-1,63,88,99.986,84
AWS,eu-west-1,11,57,99.971,40
AWS,us-east-1,77,114,99.901,65
GCP,us-east1,72,122,99.971,46
Azure,Australia East,73,114,99.964,69
GCP,us-east1,17,30,99.928,81
GCP,asia-south1,58,84,99.915,85
Azure,Central India,22,54,99.925,57
AWS,ap-southeast-1,38,84,99.958,58
Azure,Australia East,68,80,99.921,88
GCP,us-east1,46,78,99.985,74
GCP,us-central1,63,78,99.917,72
AWS,ap-southeast-1,59,108,99.981,76
GCP,asia-south1,19,39,99.989,44
GCP,europe-west1,77,117,99.934,83
GCP,asia-east1,73,105,99.972,93
GCP,asia-south1,25,72,99.971,65
GCP,us-central1,31,49,99.929,79
AWS,ap-southeast-1,27,54,99.966,86
AWS,eu-west-1,16,32,99.976,50
GCP,asia-east1,74,119,99.969,43
AWS,ap-south-1,72,101,99.934,92
AWS,us-east-1,34,63,99.936,47
GCP,us-east1,14,39,99.93,41
GCP,asia-south1,66,90,99.924,84
Azure,Australia East,42,89,99.908,64
Azure,East US,76,108,99.927,93
AWS,eu-west-1,65,113,99.963,76
GCP,europe-west1,65,91,99.961,55
AWS,us-east-1,45,95,99.905,90
GCP,us-central1,33,43,99.915,50
Azure,West Europe,19,43,99.927,95
AWS,us-west-2,72,87,99.908,88
Azure,West Europe,63,80,99.996,86
GCP,us-east1,64,114,99.94,62
AWS,us-west-2,64,104,99.965,60
GCP,asia-east1,60,93,99.92,42
GCP,asia-east1,78,120,99.938,47
GCP,europe-west1,12,32,99.978,85
AWS,us-west-2,52,78,99.907,95
GCP,asia-south1,33,62,99.962,41
AWS,us-west-2,76,115,99.982,42
Azure,Southeast Asia,19,45,99.985,82
GCP,europe-west1,54,100,99.908,77
AWS,eu-west-1,42,62,99.956,54
AWS,us-west-2,51,86,99.912,59
Azure,Southeast Asia,16,53,99.925,77
GCP,asia-south1,34,58,99.954,81
Azure,Southeast Asia,58,106,99.97,81
Azure,Southeast Asia,49,74,99.981,87
Azure,Australia East,80,105,99.928,48
GCP,europe-west1,19,65,99.943,58
AWS,eu-west-1,64,92,99.939,76
GCP,us-central1,72,84,99.904,87
GCP,asia-south1,51,68,99.935,57
AWS,ap-south-1,31,64,99.949,80
Azure,Australia East,76,92,99.987,84
GCP,asia-south1,70,120,99.954,91
GCP,us-east1,71,109,99.985,85
Azure,East US,73,104,99.983,84
AWS,ap-southeast-1,55,79,99.955,58
Azure,West Europe,80,120,99.95,55
Azure,West Europe,53,75,99.923,88
AWS,eu-west-1,10,48,99.952,45
AWS,ap-south-1,68,88,99.945,56
Azure,Southeast Asia,31,44,99.938,68
GCP,europe-west1,13,62,99.987,52
AWS,us-east-1,23,61,99.927,89
AWS,eu-west-1,73,104,99.973,73
Azure,Southeast Asia,69,112,99.929,66
AWS,ap-southeast-1,67,87,99.958,82
AWS,us-east-1,29,39,99.963,67
AWS,ap-southeast-1,40,75,99.907,50
AWS,eu-west-1,38,61,99.963,65
AWS,ap-southeast-1,56,97,99.998,52
Azure,East US,77,106,99.968,89
Azure,East US,52,98,99.904,70
AWS,ap-southeast-1,80,97,99.956,52
AWS,eu-west-1,29,74,99.975,69
Azure,Southeast Asia,48,62,99.965,58
AWS,ap-south-1,76,106,99.993,74
GCP,asia-east1,58,73,99.961,54
GCP,europe-west1,48,95,99.981,47
GCP,asia-south1,15,25,99.996,93
GCP,asia-east1,53,95,99.912,80
GCP,us-central1,31,44,99.963,92
AWS,ap-southeast-1,76,93,99.96,87
Azure,Australia East,22,72,99.933,57
Azure,Central India,24,73,99.92,84
GCP,asia-south1,10,41,99.964,81
GCP,asia-south1,23,53,99.971,74
AWS,ap-southeast-1,14,31,99.935,57
GCP,us-central1,74,102,99.991,90
AWS,us-west-2,13,62,99.965,42
AWS,eu-west-1,38,58,99.971,69
AWS,us-east-1,23,47,99.904,80
Azure,Australia East,32,68,99.926,89
GCP,europe-west1,64,78,99.933,65
Azure,Southeast Asia,21,37,99.936,51
GCP,asia-east1,55,90,99.972,70
GCP,us-east1,71,105,99.96,60
GCP,us-central1,19,42,99.954,85
AWS,ap-south-1,53,85,99.914,54
GCP,europe-west1,12,24,99.988,71
GCP,us-central1,10,24,99.98,79
Azure,Australia East,39,55,99.978,89
Azure,East US,64,84,99.915,51
GCP,us-east1,59,96,99.929,64
GCP,us-east1,52,86,99.936,57
AWS,ap-southeast-1,51,98,99.919,82
GCP,asia-south1,54,98,99.975,80
GCP,us-east1,28,78,99.989,41
Azure,Australia East,80,104,99.998,42
AWS,us-west-2,54,90,99.946,60
AWS,ap-southeast-1,34,57,99.907,53
GCP,us-east1,71,83,99.965,74
GCP,europe-west1,68,109,99.976,54
Azure,East US,20,61,99.958,45
Azure,West Europe,25,58,99.945,79
AWS,us-east-1,73,97,99.962,93
GCP,us-central1,11,39,99.959,80
Azure,Southeast Asia,14,38,99.967,89
GCP,asia-south1,26,38,99.932,40
AWS,us-east-1,61,101,99.919,48
Azure,Southeast Asia,39,52,99.988,44
AWS,us-west-2,50,65,99.919,92
Azure,Central India,73,104,99.946,82
AWS,ap-south-1,10,36,99.957,81
GCP,us-central1,48,64,99.993,49
Azure,Central India,62,105,99.975,81
AWS,ap-southeast-1,64,102,99.907,46
AWS,eu-west-1,72,121,99.943,88
AWS,us-west-2,45,74,99.931,52
Azure,Australia East,49,63,99.922,46
Azure,East US,47,85,99.942,72
Azure,Southeast Asia,67,97,99.985,59
GCP,europe-west1,13,36,99.983,84
AWS,us-west-2,46,71,99.955,60
GCP,us-east1,40,52,99.943,68
Azure,Central India,71,110,99.937,91
GCP,asia-south1,43,65,99.965,56
GCP,us-east1,51,61,99.955,58
GCP,europe-west1,32,45,99.96,54
GCP,asia-east1,71,94,99.935,85
AWS,ap-south-1,46,69,99.918,68
Azure,Southeast Asia,72,92,99.956,81
AWS,ap-southeast-1,77,111,99.995,47
GCP,us-east1,35,45,99.973,74
Azure,Central India,31,56,99.977,75
GCP,asia-south1,61,94,99.925,68
GCP,asia-east1,77,121,99.916,94
GCP,asia-south1,15,53,99.941,42
GCP,asia-east1,56,88,99.934,64
GCP,us-east1,15,26,99.98,41
GCP,us-central1,59,104,99.968,85
AWS,ap-south-1,69,82,99.986,45
AWS,us-east-1,53,103,99.906,95
GCP,europe-west1,46,85,99.987,92
AWS,ap-southeast-1,29,56,99.972,90
Azure,West Europe,69,81,99.993,69
GCP,asia-east1,15,54,99.974,78
Azure,West Europe,36,82,99.929,84
Azure,Australia East,17,31,99.983,72
AWS,us-east-1,68,106,99.988,60
AWS,ap-south-1,14,41,99.962,50
Azure,Australia East,76,119,99.974,62
AWS,ap-south-1,28,64,99.977,63
AWS,us-west-2,65,101,99.963,46
GCP,europe-west1,28,62,99.904,95
GCP,europe-west1,13,34,99.939,90
GCP,asia-south1,54,79,99.945,42
GCP,europe-west1,47,83,99.911,94
Azure,West Europe,28,43,99.989,56
Azure,Southeast Asia,56,77,99.924,56
AWS,eu-west-1,19,49,99.954,84
AWS,us-east-1,79,122,99.929,61
Azure,Southeast Asia,53,98,99.942,82
AWS,ap-south-1,77,118,99.901,79
GCP,asia-south1,48,98,99.972,70
GCP,asia-east1,61,81,99.94,79
GCP,asia-east1,36,59,99.956,46
Azure,Southeast Asia,10,36,99.942,58
GCP,asia-south1,53,101,99.981,59
GCP,asia-south1,41,60,99.929,53
Azure,East US,36,60,99.973,57
AWS,us-east-1,73,113,99.978,56
GCP,us-east1,53,65,99.913,68
GCP,europe-west1,61,90,99.927,46
Azure,West Europe,50,71,99.944,47
Azure,East US,50,88,99.983,87
GCP,asia-east1,13,42,99.991,59
Azure,Central India,43,71,99.91,47
AWS,ap-southeast-1,63,73,99.967,42
AWS,ap-south-1,31,53,99.974,59
GCP,us-east1,74,105,99.939,44
AWS,eu-west-1,61,100,99.969,75
GCP,us-east1,71,84,99.947,75
Azure,East US,46,67,99.969,56
GCP,us-central1,34,56,99.917,78
AWS,us-east-1,70,103,99.909,85
Azure,Southeast Asia,30,79,99.947,57
GCP,asia-south1,70,109,99.945,73
GCP,asia-south1,61,107,99.908,48
GCP,asia-east1,36,74,99.956,74
GCP,asia-east1,68,115,99.906,88
AWS,us-east-1,12,23,99.973,90
Azure,Australia East,37,72,99.968,77
AWS,ap-southeast-1,31,46,99.986,93
Azure,West Europe,72,88,99.914,47
AWS,us-west-2,39,83,99.967,89
Azure,Southeast Asia,37,77,99.906,41
Azure,East US,68,98,99.996,60
AWS,us-east-1,53,96,99.988,74
GCP,europe-west1,24,53,99.972,47
AWS,us-east-1,75,112,99.921,73
Azure,West Europe,74,116,99.964,47
GCP,us-central1,61,100,99.902,86
Azure,Central India,37,64,99.987,51
Azure,West Europe,36,81,99.912,74
